Date,Time,Source IP Address,Destination IP address,Source Port,Destination Port
Jan 29,02:23:25,65.120.86.12,216.58.112.55,53,16715
Jan 29,02:23:46,207.68.178.56,216.58.112.55,80,2617
Jan 29,02:23:50,71.127.188.123,216.58.112.55,50711,25
Jan 29,02:24:34,66.11.164.174,216.58.112.55,44679,25
Jan 29,02:24:46,66.11.164.174,216.58.112.55,44682,25
Jan 29,02:25:10,66.11.164.174,216.58.112.55,44685,25
Jan 29,02:25:34,205.134.188.171,216.58.112.55,59748,25
Jan 29,02:25:39,193.47.121.71,216.58.112.55,31105,1026
Jan 29,02:25:49,66.11.164.174,216.58.112.55,44691,25
Jan 29,02:26:08,69.31.42.66,216.58.112.55,45197,113
Jan 29,02:26:10,66.11.164.174,216.58.112.55,44694,25
Jan 29,02:26:22,192.168.17.24,192.168.9.51,138,138
Jan 29,02:26:22,192.168.17.24,192.168.10.60,138,138
Jan 29,02:26:22,192.168.17.24,192.168.9.51,138,138
Jan 29,02:26:22,192.168.17.24,192.168.10.60,138,138
Jan 29,02:26:24,205.134.188.171,216.58.112.55,60675,25
Jan 29,02:26:35,216.60.166.102,216.58.112.55,4703,139
Jan 29,02:26:38,216.60.166.102,216.58.112.55,4703,139
Jan 29,02:26:38,205.134.188.171,216.58.112.55,60936,25
Jan 29,02:27:02,196.174.202.235,216.58.112.55,31105,1026
Jan 29,02:27:02,126.203.126.10,216.58.112.55,31105,1026
Jan 29,02:27:08,205.134.188.171,216.58.112.55,33194,25
Jan 29,02:27:23,205.134.188.171,216.58.112.55,33412,25
Jan 29,02:27:37,192.168.17.11,10.97.14.21,137,137
Jan 29,02:27:38,192.168.17.11,10.97.14.21,137,137
Jan 29,02:27:39,205.134.188.171,216.58.112.55,33726,25
Jan 29,02:27:40,192.168.17.11,10.97.14.21,137,137
Jan 29,02:28:11,192.168.17.11,10.97.14.25,123,123
Jan 29,02:29:21,192.168.17.24,192.168.9.51,138,138
Jan 29,02:29:21,192.168.17.24,192.168.10.60,138,138
Jan 29,02:29:21,192.168.17.24,192.168.9.51,138,138
Jan 29,02:29:21,192.168.17.24,192.168.10.60,138,138
Jan 29,02:29:31,71.126.248.71,216.58.112.55,53077,25
Jan 29,02:31:10,24.64.112.81,216.58.112.55,17466,1026
Jan 29,02:31:10,24.64.112.81,216.58.112.55,17466,1027
